seed,phase_C_tick,cv_pre,cv_post,delta
0,5550,0.91885,0.18563999999999997,-0.7332099999999999
1,4650,0.92088,0.21435000000000004,-0.70653
2,4150,0.9093600000000001,0.10854,-0.8008200000000001
3,5350,0.91974,0.19903999999999997,-0.7207
4,4300,0.91751,0.16583,-0.75168
5,5400,0.91679,0.17709000000000003,-0.7397
6,3800,0.91607,0.1607,-0.7553700000000001
7,5250,0.92104,0.19383,-0.7272099999999999
8,5600,0.9221600000000001,0.20827,-0.7138900000000001
9,3750,0.9143700000000001,0.11669999999999998,-0.7976700000000001
10,4300,0.9153800000000001,0.13436000000000003,-0.78102
11,5350,0.91586,0.18000999999999998,-0.73585
12,5600,0.9204399999999999,0.20654,-0.7139
13,5300,0.9171799999999999,0.20514000000000002,-0.7120399999999999
14,5550,0.9242000000000001,0.24778999999999995,-0.6764100000000002
15,9550,0.25187,0.19261,-0.05925999999999998
16,3900,0.9061,0.10139000000000001,-0.80471
17,4500,0.9140499999999999,0.16897,-0.74508
18,4700,0.9207599999999999,0.22115,-0.6996099999999998
19,5400,0.9165300000000001,0.20757000000000003,-0.70896
20,4400,0.91264,0.13596000000000003,-0.77668
21,5600,0.9173,0.18943000000000002,-0.72787
22,4600,0.9228799999999999,0.21609000000000003,-0.7067899999999999
23,4000,0.90861,0.10259,-0.8060200000000001
24,5000,0.9218400000000001,0.22065,-0.7011900000000001
25,5050,0.9206799999999999,0.2553,-0.6653799999999999
26,4150,0.7380000000000001,0.1291,-0.6089000000000001
27,3450,0.91831,0.1861,-0.73221
28,5400,0.91722,0.17287,-0.7443500000000001
29,3900,0.9090199999999999,0.11732000000000001,-0.7917
30,5200,0.91747,0.21832000000000001,-0.6991499999999999
31,4400,0.9146599999999999,0.16135999999999998,-0.7533
32,5400,0.40203999999999995,0.24296,-0.15907999999999994
33,5350,0.92315,0.2413,-0.6818500000000001
34,5000,0.92289,0.23607,-0.68682
35,3750,0.9073,0.1005,-0.8068
36,3800,0.90633,0.10533000000000001,-0.8009999999999999
37,4300,0.913,0.1456,-0.7674000000000001
38,4800,0.9158099999999999,0.17769000000000001,-0.7381199999999999
39,4750,0.91975,0.21547999999999998,-0.70427
40,4350,0.9116500000000001,0.13754000000000002,-0.7741100000000001
41,5550,0.70568,0.23299999999999996,-0.47268
42,5350,0.92261,0.22837999999999994,-0.6942300000000001
43,6050,0.25727,0.24969999999999998,-0.007570000000000021
44,4900,0.92357,0.23101,-0.6925600000000001
45,5300,0.91713,0.19310000000000002,-0.72403
46,3800,0.9110699999999999,0.10042,-0.81065
47,5400,0.9200699999999999,0.19874999999999998,-0.72132
48,4850,0.92049,0.22593000000000002,-0.6945600000000001
49,4950,0.92264,0.23862,-0.6840200000000001
50,5250,0.91981,0.19756,-0.7222500000000001
51,4800,0.92297,0.23416,-0.6888099999999999
52,9600,0.25528999999999996,0.1929777777777778,-0.06231222222222216
53,5800,0.91942,0.19197000000000003,-0.7274499999999999
54,4000,0.90847,0.18093000000000004,-0.72754
55,7550,0.26066,0.24122,-0.019440000000000013
56,5600,0.9147500000000001,0.17995999999999998,-0.73479
57,3750,0.91428,0.12952000000000002,-0.7847599999999999
58,5150,0.92282,0.23085,-0.69197
59,4100,0.90879,0.09967,-0.80912
60,5450,0.92093,0.23016999999999999,-0.69076
61,5250,0.92011,0.21270000000000003,-0.70741
62,6200,0.92106,0.20588,-0.7151799999999999
63,5450,0.9195399999999999,0.21829,-0.7012499999999999
64,4450,0.9129200000000001,0.158,-0.75492
66,6000,0.91977,0.20248999999999998,-0.71728
67,3900,0.9101000000000001,0.10507999999999999,-0.8050200000000002
68,4800,0.92043,0.20754,-0.71289
69,6100,0.91975,0.20305999999999996,-0.71669
70,5050,0.9231199999999999,0.20985,-0.71327
71,4200,0.91117,0.1172,-0.7939700000000001
72,5400,0.70442,0.25094000000000005,-0.45348
73,5400,0.7800999999999999,0.24983000000000005,-0.5302699999999998
74,5100,0.9219799999999999,0.23523999999999998,-0.6867399999999999
75,4450,0.91497,0.15434,-0.7606299999999999
76,6100,0.914,0.20493999999999998,-0.70906
77,4450,0.91625,0.18556,-0.7306900000000001
78,4100,0.37842,0.10413999999999998,-0.27427999999999997
79,5250,0.92415,0.25392000000000003,-0.67023
80,4600,0.9164199999999999,0.18970000000000004,-0.7267199999999998
81,3900,0.74815,0.1353,-0.61285
82,5300,0.91899,0.22938999999999998,-0.6896
83,4400,0.91136,0.12882000000000002,-0.7825399999999999
84,6250,0.9178200000000001,0.18935,-0.7284700000000001
85,5500,0.9231299999999999,0.19688,-0.7262499999999998
86,5300,0.9187099999999999,0.20181999999999997,-0.7168899999999999
87,4300,0.91319,0.149,-0.7641899999999999
88,4450,0.91199,0.12908000000000003,-0.78291
89,5300,0.9248200000000001,0.24604000000000004,-0.67878
90,5300,0.9243499999999999,0.27274,-0.6516099999999999
91,4950,0.9241300000000001,0.2323,-0.6918300000000002
92,4500,0.91629,0.19295999999999996,-0.72333
93,8850,0.24914,0.22946,-0.019680000000000003
94,5200,0.9229200000000001,0.21776,-0.70516
95,3850,0.9158899999999999,0.14509,-0.7707999999999999
96,3750,0.9125,0.1292,-0.7833
97,5250,0.92432,0.25369,-0.6706300000000001
98,4300,0.91171,0.13712,-0.77459
99,5100,0.9232799999999999,0.24825000000000003,-0.6750299999999998
100,4300,0.91442,0.14948,-0.76494
101,5300,0.9159,0.17995,-0.7359500000000001
102,5550,0.91346,0.17908000000000002,-0.73438
103,5600,0.9227700000000001,0.20497,-0.7178000000000001
104,4800,0.9215099999999999,0.23080000000000003,-0.6907099999999999
105,4050,0.91228,0.13204,-0.78024
106,5350,0.92257,0.25661000000000006,-0.6659599999999999
107,4850,0.92477,0.2514,-0.67337
108,5100,0.91776,0.18438,-0.73338
109,4650,0.9177199999999999,0.18170999999999998,-0.7360099999999998
110,3850,0.90962,0.10075,-0.80887
111,5650,0.92147,0.20255,-0.71892
112,9450,0.25139,0.19466999999999998,-0.05672000000000002
113,4350,0.9134,0.13967000000000002,-0.77373
115,5250,0.8485999999999999,0.22597000000000006,-0.6226299999999998
116,8800,0.27248,0.24089999999999998,-0.031580000000000025
117,4700,0.91808,0.17176,-0.74632
118,4250,0.91494,0.16655999999999999,-0.74838
119,5050,0.8499399999999999,0.23879,-0.6111499999999999
120,4250,0.9147700000000001,0.14111999999999997,-0.7736500000000002
121,6350,0.9196500000000001,0.20498,-0.7146700000000001
122,5250,0.9240999999999999,0.24176999999999998,-0.6823299999999999
123,5000,0.9178200000000001,0.19331,-0.7245100000000001
124,4750,0.9177199999999999,0.18696000000000002,-0.7307599999999999
125,5150,0.92445,0.25376,-0.67069
126,5250,0.92408,0.23905999999999997,-0.6850200000000001
127,4500,0.91386,0.15415,-0.75971
128,4600,0.91598,0.13577,-0.7802100000000001
129,5700,0.6309400000000001,0.23485999999999999,-0.3960800000000001
130,4850,0.92319,0.2507499999999999,-0.67244
131,9500,0.2529,0.21025999999999997,-0.04264000000000004
132,5500,0.9209400000000001,0.19820999999999997,-0.7227300000000001
133,4850,0.91999,0.22114000000000003,-0.69885
134,4450,0.91727,0.18414999999999998,-0.73312
135,5600,0.92156,0.21212,-0.7094400000000001
136,3900,0.9100300000000001,0.20602,-0.7040100000000001
137,4800,0.9199400000000001,0.21386000000000002,-0.70608
138,5200,0.921,0.21664,-0.7043600000000001
139,4700,0.91876,0.19453,-0.72423
140,3750,0.9197900000000001,0.19518,-0.7246100000000001
141,9350,0.24909000000000003,0.22000000000000003,-0.029090000000000005
142,4700,0.91898,0.20042,-0.7185600000000001
143,5450,0.92218,0.21813999999999995,-0.70404
144,3800,0.9097799999999999,0.08913,-0.8206499999999999
145,8000,0.25491,0.24814000000000003,-0.006769999999999998
146,4750,0.92006,0.20858,-0.71148
147,5350,0.9168100000000001,0.18084000000000003,-0.7359700000000001
148,4400,0.91144,0.14631,-0.7651300000000001
