seed,phase_C_tick,population,mean_s,mean_cv,resource
94,3600,24,0.2883,0.139,60.35
95,4400,41,0.4804,0.1589,28.71
96,4300,36,0.5301,0.1318,32.61
97,3800,32,0.2742,0.1697,40.22
98,5200,48,0.4941,0.2332,23.74
99,4050,36,0.2542,0.1051,33.5
100,4350,40,0.4687,0.1533,30.34
101,5350,42,0.6515,0.2294,25.58
102,3700,21,0.6654,0.1259,56.74
103,4200,30,0.2816,0.0836,32.94
104,4150,34,0.5528,0.1143,36.53
105,5000,43,0.6452,0.2146,26.85
106,5250,47,0.5152,0.2378,23.67
107,5150,39,0.6138,0.2102,29.81
108,3700,24,0.4888,0.1877,55.52
109,4400,41,0.4635,0.1373,29.39
110,5000,39,0.6653,0.2139,27.47
111,3800,24,0.2847,0.2283,51.63
113,5100,42,0.5993,0.2245,26.08
114,8900,39,0.7277,0.2358,28.5
115,3900,31,0.3104,0.1147,44.84
116,4700,41,0.5848,0.202,27.99
117,4550,35,0.6718,0.1413,30.33
118,5350,43,0.6006,0.2301,25.37
119,3700,22,0.3159,0.1569,59.36
120,3800,29,0.367,0.1074,46.87
121,9350,39,0.8681,0.2435,27.42
122,3800,25,0.4744,0.1264,50.35
123,5000,43,0.5103,0.2478,25.51
124,5000,46,0.4144,0.233,23.68
125,4200,35,0.3785,0.1151,35.92
126,4750,41,0.653,0.1835,27.75
127,4200,34,0.4768,0.0862,35.61
128,4000,32,0.34,0.0845,42.7
130,4800,40,0.6191,0.2114,26.21
132,4750,44,0.5796,0.1673,26.39
133,4600,39,0.4183,0.1835,32.78
134,4450,38,0.5713,0.1767,31.25
135,5550,39,0.6375,0.2113,26.36
137,3900,30,0.3289,0.1144,44.36
138,4700,40,0.69,0.1744,28.93
139,5500,43,0.5965,0.2158,27.12
140,3750,27,0.2827,0.1889,48.23
141,5400,35,0.8019,0.1272,31.76
142,3950,33,0.2957,0.0934,41.29
143,4850,46,0.513,0.2014,25.34
144,4150,26,0.3116,0.1209,37.17
145,3700,26,0.2698,0.1756,49.4
146,3650,24,0.2912,0.1264,58.32
147,4300,37,0.4672,0.1201,32.34
148,3600,18,0.3701,0.1548,69.39
149,4300,33,0.5718,0.12,36.62
150,4450,41,0.3687,0.1311,28.32
151,3800,26,0.4612,0.0862,50.89
152,5100,44,0.5652,0.2032,26.6
153,3750,27,0.3758,0.1736,50.69
154,5400,40,0.5424,0.1865,26.39
155,4300,41,0.3578,0.131,30.14
157,4750,43,0.5705,0.2042,26.9
159,4450,33,0.5763,0.1359,36.66
160,4800,39,0.7708,0.179,27.25
161,4550,43,0.4477,0.1849,27.39
162,3900,32,0.2813,0.176,37.74
163,3800,28,0.2551,0.1731,44.97
164,5500,43,0.476,0.2188,24.67
165,3750,26,0.4069,0.1613,51.96
166,3950,30,0.4107,0.093,43.2
167,3650,26,0.3523,0.1508,53.66
168,3800,25,0.2652,0.0868,50.54
169,4150,31,0.6104,0.0735,39.17
170,4400,39,0.4452,0.1685,30.89
171,42300,12,0.2657,0.1384,53.75
172,5050,42,0.5005,0.2487,26.7
173,4150,34,0.495,0.1139,36.26
174,4200,35,0.5507,0.1138,33.47
176,4150,30,0.5601,0.1362,42.28
177,3600,21,0.6095,0.1506,58.08
178,4900,38,0.7867,0.1447,29.25
179,4350,38,0.4981,0.1334,30.9
180,5350,48,0.4552,0.2443,23.56
181,3800,27,0.2669,0.095,50.66
182,3850,29,0.3627,0.0755,44.92
183,3600,19,0.7375,0.1862,59.15
184,4250,39,0.464,0.119,31.71
185,3900,26,0.4725,0.1172,49.13
186,4900,39,0.6513,0.2201,27.78
187,3900,32,0.3857,0.1238,39.49
188,3600,21,0.2984,0.2051,71.98
189,4400,36,0.4088,0.1459,35.64
190,4300,42,0.3304,0.151,30.37
191,3800,32,0.2732,0.1205,40.68
192,3550,23,0.415,0.146,59.14
193,4500,36,0.507,0.1832,33.78
194,4400,40,0.3811,0.1455,32.87
195,3650,24,0.4947,0.1239,52.48
196,4250,41,0.463,0.1394,29.03
197,3700,28,0.262,0.1509,51.36
198,3750,28,0.3454,0.1338,50.26
199,5500,47,0.42,0.1984,24.91
200,4900,43,0.49,0.217,25.72
201,3750,23,0.5455,0.1539,55.77
202,4550,12,0.2702,0.1074,70.31
203,5100,46,0.4857,0.25,24.74
204,3700,23,0.3075,0.1647,57.52
205,5200,42,0.5155,0.2092,26.37
206,4350,44,0.3433,0.1798,28.33
207,4200,33,0.5223,0.1223,37.59
208,3750,27,0.3124,0.1098,53.31
209,3900,30,0.3978,0.0899,41.7
210,4900,46,0.5337,0.2256,25.5
211,3700,24,0.4947,0.1283,54.45
212,5050,50,0.5094,0.2279,23.34
213,4650,40,0.6502,0.2196,28.81
214,5450,48,0.4415,0.2377,22.18
215,4500,40,0.3889,0.1361,31.56
216,3850,31,0.2506,0.1598,44.72
217,3700,22,0.2629,0.1722,65.26
218,4950,42,0.4027,0.2318,24.9
219,4300,18,0.3289,0.1267,44.93
220,4400,44,0.4329,0.1501,26.95
221,4950,45,0.4783,0.216,25.41
222,4400,36,0.4839,0.1307,34.11
223,4700,43,0.5695,0.2249,27.88
224,4700,40,0.6489,0.1579,29.59
225,4250,42,0.3421,0.143,29.95
226,4250,33,0.5645,0.1459,36.24
227,3950,35,0.2757,0.1238,36.67
228,3850,25,0.2705,0.1252,51.02
229,5250,43,0.6258,0.1951,25.38
230,5100,40,0.742,0.1737,26.61
231,4600,39,0.7142,0.2081,29.19
232,3650,24,0.4965,0.1244,54.82
233,4150,29,0.5006,0.1302,40.69
235,3800,28,0.4285,0.0936,44.5
236,4050,26,0.771,0.0893,42.36
237,3550,17,0.3549,0.2122,79.75
238,3700,24,0.448,0.1386,54.43
239,4450,34,0.6094,0.1328,34.81
240,5150,44,0.5659,0.1929,26.33
241,4400,45,0.4633,0.1477,25.75
242,3900,30,0.3439,0.1372,46.59
243,5100,48,0.4837,0.2468,23.25
244,4400,46,0.2815,0.15,27.48
245,3900,32,0.3093,0.118,43.76
246,4450,36,0.397,0.206,34.55
247,3650,22,0.5795,0.1418,57.69
248,4150,34,0.5441,0.1081,35.2
249,4950,45,0.4775,0.2407,25.74
250,4800,40,0.6933,0.1854,26.92
251,4250,37,0.4778,0.0981,33.09
252,3700,22,0.5986,0.0931,56.93
253,3650,24,0.4828,0.184,54.94
254,4200,32,0.4138,0.1355,39.95
255,4400,36,0.5113,0.1438,33.87
256,5550,43,0.6239,0.1657,26.66
257,4300,39,0.3894,0.0981,32.77
258,7650,44,0.5812,0.2447,24.78
259,3750,27,0.4116,0.0855,49.51
260,4700,36,0.819,0.184,30.01
261,3850,28,0.2874,0.2054,43.21
262,3850,25,0.5533,0.0712,48.54
263,4950,47,0.4851,0.2494,23.81
264,3500,21,0.2985,0.162,60.12
265,4250,35,0.5395,0.0894,34.7
266,4450,44,0.4477,0.1341,26.22
267,3800,28,0.2501,0.2145,45.31
268,5300,43,0.5837,0.2361,25.08
269,4400,43,0.4842,0.1515,26.92
270,8900,40,0.7064,0.2258,28.71
271,5250,36,0.8098,0.1674,30.22
272,4400,38,0.4694,0.1078,31.15
273,4850,48,0.4935,0.2113,24.76
274,5150,44,0.5793,0.2184,25.85
275,3950,33,0.4171,0.1391,37.84
276,5100,48,0.5189,0.2157,24.54
277,3650,20,0.5808,0.1917,63.65
278,5600,38,0.6898,0.2353,28.03
279,4900,40,0.5971,0.2415,27.13
280,4850,43,0.558,0.1831,27.02
281,4800,45,0.5473,0.2387,25.87
282,3800,26,0.4079,0.1759,51.57
283,4950,44,0.5541,0.2257,24.99
284,3750,28,0.33,0.2299,50.33
285,4250,24,0.2562,0.1003,38.59
286,3850,29,0.3083,0.1311,50.1
287,4650,46,0.4723,0.1638,24.17
288,3750,24,0.2956,0.0841,49.95
289,3800,27,0.3837,0.1879,48.95
290,5000,42,0.6013,0.2056,27.42
291,4350,34,0.5663,0.1005,34.72
292,3950,32,0.3042,0.0778,40.71
293,3650,24,0.4029,0.1629,57.09
294,35550,21,0.2544,0.1755,47.98
295,4850,43,0.606,0.1889,25.57
296,3900,30,0.3819,0.0765,42.8
297,3900,32,0.2722,0.1222,39.3
298,3700,25,0.4197,0.1344,50.85
299,8400,36,0.8867,0.245,29.16
300,4200,36,0.4281,0.1082,34.5
301,3650,23,0.2772,0.1073,52.33
302,4200,36,0.4653,0.1124,34.47
303,3900,32,0.3275,0.0987,40.87
304,5250,45,0.5762,0.222,24.19
305,4450,43,0.406,0.1709,28.42
306,4400,44,0.3869,0.1522,28.39
307,4300,26,0.2601,0.0905,39.28
309,4200,33,0.4193,0.0977,35.9
310,3800,28,0.3376,0.1036,52.03
311,4250,34,0.5056,0.1072,37.65
312,4300,40,0.4501,0.1328,29.93
313,4150,30,0.3222,0.1066,33.46
314,4350,34,0.706,0.1627,33.24
315,4300,41,0.4575,0.1623,29.02
316,4850,39,0.4847,0.2103,25.68
317,3850,28,0.2696,0.1968,44.53
318,4850,43,0.5743,0.1974,25.08
319,4900,45,0.4981,0.2001,25.0
320,4850,44,0.5858,0.2094,25.3
321,4400,38,0.4659,0.1855,33.6
322,5400,41,0.5522,0.234,26.03
323,5450,43,0.6256,0.2031,25.2
324,3800,23,0.3193,0.1083,53.12
325,5050,48,0.515,0.2165,25.68
326,4900,42,0.4674,0.1788,25.14
327,3850,30,0.3647,0.1124,41.99
328,3900,29,0.455,0.0756,42.84
329,3900,29,0.4522,0.087,42.4
330,4600,40,0.6858,0.1907,27.83
331,4000,32,0.2721,0.1405,36.58
332,4400,43,0.3751,0.1822,30.1
333,5400,47,0.4688,0.2458,23.81
334,3750,22,0.2996,0.1296,54.88
335,3750,26,0.4184,0.1391,52.47
336,4150,37,0.3103,0.1149,30.65
337,4100,32,0.5722,0.0933,39.03
338,5350,42,0.5374,0.208,25.75
339,5300,41,0.5975,0.1785,28.18
340,4350,39,0.4794,0.1058,30.16
341,4700,36,0.3908,0.1791,34.16
342,4000,31,0.4807,0.081,40.25
344,4300,30,0.4844,0.1306,39.47
345,3750,28,0.3399,0.1393,52.42
346,4750,38,0.615,0.2045,26.56
347,5200,47,0.5241,0.2387,23.38
348,4750,43,0.6388,0.237,26.52
350,3450,14,0.4694,0.2364,90.23
352,4700,44,0.5322,0.2045,28.11
353,5300,48,0.47,0.2474,24.29
354,4050,32,0.2517,0.1492,36.66
355,5200,41,0.5871,0.149,29.3
356,3700,20,0.2979,0.2185,66.92
357,4200,36,0.4636,0.1307,34.41
358,7900,38,0.6735,0.2457,27.63
359,3950,34,0.275,0.1154,42.79
360,3700,24,0.5052,0.1456,53.21
361,14200,6,0.2673,1.0,68.08
362,3850,31,0.396,0.137,40.26
363,5250,45,0.4899,0.2208,23.99
364,4350,40,0.4099,0.0998,31.64
365,4200,31,0.6477,0.1428,37.47
366,4250,37,0.4164,0.1081,34.42
367,4100,35,0.5069,0.0626,34.66
368,9000,41,0.723,0.2454,27.27
369,3850,24,0.3122,0.1339,50.08
370,4150,32,0.4436,0.1197,39.85
371,5100,45,0.646,0.2483,25.69
372,3800,32,0.2515,0.0907,41.95
373,4900,39,0.684,0.226,27.37
374,4900,41,0.6277,0.2308,26.15
375,5350,46,0.6225,0.2387,24.65
376,4850,47,0.5034,0.225,24.79
377,4100,27,0.2873,0.1143,34.92
378,3650,23,0.4525,0.1079,57.2
379,4200,31,0.2596,0.0726,33.44
380,3750,27,0.4161,0.0905,47.88
381,4700,41,0.6343,0.1819,28.39
382,4950,47,0.4701,0.2138,23.88
383,7750,48,0.4165,0.2467,22.44
384,5650,47,0.518,0.2325,24.96
385,3850,31,0.3021,0.1038,44.21
386,9150,43,0.6186,0.2003,27.69
387,3650,24,0.262,0.0536,55.47
388,5650,38,0.6453,0.2139,31.3
389,3950,36,0.3273,0.0989,34.86
390,5000,48,0.4718,0.179,25.28
391,4250,39,0.411,0.1046,32.37
392,4200,36,0.4501,0.1328,35.13
393,3850,26,0.5065,0.1003,47.6
394,4050,37,0.2974,0.1038,33.72
395,4300,26,0.8452,1.0,38.47
396,3850,31,0.3112,0.0549,45.11
397,4200,38,0.4248,0.1245,32.4
398,3900,32,0.4313,0.0894,38.66
399,4100,30,0.2942,0.0963,33.24
401,3800,27,0.451,0.0907,47.34
402,3900,34,0.3036,0.1112,38.8
403,4300,35,0.5347,0.1446,34.56
404,4250,38,0.466,0.1336,32.84
405,4500,46,0.4821,0.1569,25.62
406,4550,40,0.535,0.1773,25.65
407,4050,32,0.4054,0.1584,39.95
408,3850,33,0.292,0.1181,42.71
409,4300,39,0.3574,0.1342,33.59
410,5250,42,0.5733,0.2183,26.2
411,9650,42,0.754,0.2424,26.18
412,4250,40,0.3534,0.1253,32.88
413,3750,26,0.4599,0.1155,49.03
414,4500,45,0.4647,0.1622,26.08
415,3800,26,0.4101,0.1334,51.72
416,4700,43,0.6329,0.2044,26.53
417,3900,32,0.3121,0.1032,41.98
418,5300,44,0.5675,0.1827,25.75
419,5350,45,0.5254,0.2293,23.63
420,5250,49,0.5061,0.2113,24.9
421,4250,37,0.4446,0.1241,34.41
422,3650,26,0.3211,0.1288,56.98
423,4150,28,0.2941,0.095,34.28
424,4200,32,0.695,0.096,34.87
425,3850,28,0.2732,0.1923,43.46
426,3650,21,0.5123,0.1552,63.24
427,4800,49,0.4685,0.2234,24.6
428,4050,36,0.3189,0.1016,34.06
429,5400,43,0.5364,0.2016,25.67
430,3900,32,0.2606,0.1582,39.38
431,4750,48,0.4308,0.1812,25.18
432,3900,28,0.2852,0.1947,43.44
433,4150,28,0.5298,0.081,40.86
435,4500,40,0.4697,0.1126,29.1
436,4450,31,0.7212,0.1675,36.17
437,4950,44,0.5154,0.2292,24.83
438,3950,34,0.3316,0.1104,38.75
439,3700,24,0.3066,0.2349,54.61
440,4150,30,0.7497,0.0808,37.0
441,4850,49,0.4432,0.1898,24.48
442,3900,29,0.4001,0.0869,44.39
444,3650,21,0.3042,0.1654,60.21
445,4900,42,0.5432,0.1569,27.63
446,4400,42,0.5087,0.131,27.29
447,3750,26,0.4523,0.1471,50.18
448,3750,25,0.266,0.0848,50.27
449,5050,46,0.4731,0.2312,23.83
450,4950,46,0.4472,0.1954,25.45
451,4450,44,0.5091,0.1809,25.96
452,4000,37,0.2508,0.0723,36.23
453,4150,34,0.3029,0.0876,37.57
454,4800,38,0.7502,0.2022,29.24
455,9500,39,0.8104,0.2388,26.78
456,4300,41,0.3725,0.1126,30.38
457,4200,35,0.4565,0.1336,37.04
458,4150,34,0.5028,0.1131,36.44
459,4350,41,0.5188,0.1521,28.39
460,4250,35,0.4174,0.0988,36.41
461,5300,44,0.5814,0.227,24.22
462,4250,37,0.4759,0.1291,32.56
463,3850,32,0.3398,0.1475,39.29
464,3950,32,0.276,0.1346,37.17
465,4300,35,0.5493,0.1325,33.43
466,3750,24,0.5078,0.1533,52.55
467,3600,21,0.571,0.1594,57.65
468,8650,33,0.9403,0.2467,32.05
469,4300,38,0.4528,0.1111,32.54
470,5700,43,0.5604,0.1889,25.62
471,3800,25,0.2649,0.0839,50.98
472,4450,40,0.4107,0.1221,31.95
473,4350,32,0.6679,0.0811,34.97
474,5200,43,0.6115,0.2275,26.66
475,3800,28,0.3463,0.1069,50.19
476,4900,43,0.56,0.2453,24.42
477,4500,46,0.3863,0.1587,28.56
478,4650,39,0.6849,0.1854,29.71
479,4200,36,0.4127,0.0912,35.75
480,4200,33,0.6036,0.1097,36.06
481,4250,40,0.3917,0.0921,31.56
482,3850,35,0.2997,0.0978,37.0
483,4850,47,0.4988,0.1911,25.2
484,4900,39,0.6508,0.2027,26.81
485,3700,25,0.4707,0.1434,52.24
486,4950,50,0.3821,0.2176,22.76
487,3550,20,0.6474,0.1295,59.23
488,5150,46,0.4165,0.238,23.86
489,3950,29,0.4673,0.0872,45.88
490,3950,32,0.305,0.1515,38.9
491,5600,43,0.5347,0.2122,26.53
492,5100,42,0.6232,0.194,27.23
493,4500,40,0.4548,0.1838,29.83
494,4800,43,0.5739,0.1914,26.04
495,4550,40,0.5437,0.124,30.11
496,4850,47,0.5147,0.2165,25.21
497,4450,42,0.4396,0.1783,29.01
498,4250,32,0.5649,0.1245,38.4
499,4500,40,0.4835,0.1213,29.8
