seed,phase_C_tick,population,mean_s,mean_cv,resource
0,5150,49,0.5655,0.2234,23.17
1,5300,49,0.4658,0.2448,22.74
2,9650,49,0.5354,0.1968,24.05
3,4200,29,0.2878,0.0832,33.25
4,4850,37,0.5917,0.1268,31.33
5,4400,12,0.4274,0.0983,50.8
6,8850,40,0.7593,0.243,28.36
7,4900,44,0.553,0.2045,25.41
8,3900,32,0.2982,0.1477,40.38
9,4350,31,0.5585,0.1032,39.41
10,3700,28,0.2893,0.1254,50.34
11,3700,19,0.3765,0.1684,61.56
12,8100,39,0.6725,0.2498,26.08
13,4800,42,0.6002,0.2088,27.49
14,4250,36,0.4599,0.0858,35.26
16,3900,29,0.4553,0.1223,43.11
17,3650,22,0.5504,0.1629,57.87
18,4100,36,0.433,0.1876,33.88
19,4850,45,0.4884,0.2427,25.32
20,3900,29,0.3619,0.1353,46.26
21,4200,28,0.2667,0.0886,34.0
22,4150,32,0.6401,0.0696,36.34
23,5300,40,0.4834,0.2152,25.77
24,4650,45,0.3564,0.1859,27.37
25,4850,45,0.5947,0.2072,25.09
26,4050,28,0.3128,0.1187,33.06
27,3800,28,0.3335,0.1371,48.93
28,5700,45,0.5465,0.1813,25.41
29,4750,34,0.6262,0.176,33.78
30,4350,39,0.5448,0.1546,30.32
31,4700,41,0.5375,0.1424,28.54
32,4850,46,0.4303,0.189,25.25
33,3650,24,0.2961,0.1157,57.02
34,5350,38,0.6477,0.2137,26.25
35,4850,39,0.6533,0.1857,26.47
36,4800,44,0.5412,0.1861,27.36
37,4850,41,0.6252,0.1839,26.78
38,3900,33,0.3261,0.1245,39.66
40,4750,42,0.4731,0.17,28.62
41,4000,29,0.5558,0.0899,42.41
42,3700,23,0.5451,0.1515,54.5
43,3800,27,0.4997,0.1238,45.01
45,4400,38,0.4954,0.1711,31.42
46,3900,29,0.4158,0.0908,45.32
47,4300,38,0.4382,0.131,32.85
48,3850,25,0.5149,0.1158,49.08
49,3750,26,0.4021,0.1266,51.11
50,4200,30,0.6605,0.1285,39.27
51,4400,40,0.4493,0.1697,30.25
52,4400,44,0.3112,0.1403,29.79
53,4000,34,0.3815,0.0936,36.85
54,3750,24,0.5341,0.1034,52.04
55,5350,43,0.6207,0.2096,27.66
56,4800,46,0.5256,0.2052,25.96
57,4750,45,0.3678,0.1582,27.04
58,3800,26,0.4108,0.1226,51.72
59,5350,42,0.4772,0.2282,26.37
60,4150,25,0.2765,0.079,40.15
61,4650,36,0.8087,0.1592,30.61
62,3800,25,0.2876,0.0826,52.1
63,4850,43,0.6146,0.1761,27.06
64,4300,40,0.5099,0.1534,29.03
65,4400,37,0.4389,0.133,33.96
66,3900,33,0.287,0.1112,42.88
67,4200,34,0.5269,0.1646,36.01
68,4000,36,0.3338,0.1072,33.79
69,3700,21,0.3218,0.1413,59.35
70,4000,33,0.3034,0.0942,41.97
71,4400,44,0.368,0.1467,27.9
72,4300,33,0.5633,0.1291,37.31
73,3850,31,0.3649,0.0672,41.44
74,4200,38,0.3661,0.1177,35.94
75,4250,39,0.3551,0.1288,34.54
76,4800,49,0.4622,0.1851,24.43
77,4300,35,0.505,0.1167,35.68
78,4300,43,0.3635,0.0938,28.19
79,4200,31,0.6,0.112,39.18
80,5150,40,0.6383,0.2486,27.35
81,4300,38,0.4161,0.0966,33.21
82,3900,28,0.4215,0.1705,46.72
83,5050,41,0.596,0.227,26.0
84,4950,43,0.5596,0.2402,26.38
85,8250,36,0.8265,0.2429,29.06
86,4400,42,0.4365,0.1362,29.82
87,4400,43,0.4358,0.1337,28.55
88,3950,36,0.2539,0.1291,35.79
89,3650,26,0.3853,0.1507,53.86
90,3700,22,0.5936,0.1423,56.41
91,3800,24,0.2704,0.2522,52.8
92,4250,40,0.3679,0.1098,32.14
93,4150,35,0.4512,0.1008,36.55
