seed,phase_C_tick,population,mean_s,mean_cv,resource
168,5350,43,0.5415,0.2169,25.81
169,5150,48,0.5063,0.2316,24.09
170,5400,42,0.594,0.2273,26.08
171,5400,45,0.4993,0.1681,25.2
172,4950,50,0.4054,0.2293,24.3
173,5300,42,0.7108,0.2347,25.67
174,4800,43,0.5747,0.1954,26.71
175,4350,44,0.3368,0.1224,28.35
176,5550,40,0.5802,0.2357,27.01
177,4600,43,0.5059,0.1494,24.92
178,9300,38,0.8501,0.2265,28.36
179,5200,43,0.6708,0.2149,25.14
180,4250,37,0.4211,0.1497,34.09
181,3700,23,0.5396,0.1347,56.68
182,4400,42,0.5485,0.1718,27.6
183,4500,43,0.5927,0.147,26.48
184,4650,40,0.6317,0.1675,29.24
185,9600,44,0.6631,0.2504,25.26
186,3800,27,0.2715,0.0848,49.82
187,9400,38,0.8577,0.2355,29.07
188,3850,28,0.2711,0.1498,43.5
189,4300,39,0.4094,0.1216,31.82
190,4750,43,0.631,0.2134,27.49
191,8950,39,0.792,0.2323,27.42
192,5100,34,0.8495,0.1798,31.66
193,4400,36,0.5803,0.1538,32.21
194,9600,40,0.8656,0.2476,26.87
195,7800,45,0.5153,0.2488,23.78
196,3950,26,0.5777,0.1189,45.86
197,5500,40,0.7349,0.1775,27.84
198,5850,44,0.5449,0.2082,26.05
199,4350,36,0.4422,0.1193,33.29
