lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
0.008,,,5,17000,1,2103.0,2103.0,2103.0,2103.0,0.99122,0.2283
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.9932,0.2279
0.008,,,5,17000,1,1724.0,1724.0,1724.0,1724.0,0.26278,0.8035
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.99122,0.2161
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.40244,0.6852
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.29707,0.9901
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.9889,0.2245
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.98738,0.2241
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.98738,0.2268
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.2891
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.1428,0.7336
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7897
0.008,,,5,17000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7355
0.008,,,5,17200,7,1680.0,2277.0,2083.57,2261.0,0.0,0.2897
0.008,,,5,17200,2,1772.0,2037.0,1904.5,2037.0,0.99592,0.193
0.008,,,5,17200,1,2103.0,2103.0,2103.0,2103.0,0.99537,0.1955
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.99641,0.1952
0.008,,,5,17200,1,1724.0,1724.0,1724.0,1724.0,0.47486,0.6173
0.008,,,5,17200,1,1693.0,1693.0,1693.0,1693.0,0.26261,0.9376
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.68465,0.5325
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.40244,0.7441
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.99414,0.1938
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.262,0.7484
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.99334,0.1945
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.0,0.2438
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.54763,0.5683
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.33618,0.6073
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.24566,0.5697
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.0,0.6944
0.008,,,5,17200,0,-1.0,-1.0,-1.0,-1.0,0.0,0.9124
0.008,,,5,17400,7,1680.0,2277.0,2083.57,2261.0,0.0,0.2522
0.008,,,5,17400,3,1772.0,2037.0,1867.67,1794.0,0.32206,0.7407
0.008,,,5,17400,2,1718.0,2103.0,1910.5,1718.0,0.40325,0.6286
0.008,,,5,17400,1,1865.0,1865.0,1865.0,1865.0,0.26387,0.7406
0.008,,,5,17400,1,1724.0,1724.0,1724.0,1724.0,0.72287,0.5034
0.008,,,5,17400,1,1693.0,1693.0,1693.0,1693.0,0.47477,0.7136
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.83358,0.4391
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.68465,0.5923
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.26351,0.7558
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.47445,0.6047
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.40293,0.6483
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.2145
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.76127,0.4682
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.64968,0.4929
