imposed_cv,imposed_T,seed,tick,realized_interval,cell_S,n_intervals,n_divisions
0.0,3200,15,17200,-1.0,0.96912,0,0
0.0,3200,15,17200,-1.0,0.96912,0,0
0.0,3200,15,17200,-1.0,0.96912,0,0
0.0,3200,15,17200,-1.0,0.96912,0,0
0.0,3200,15,17200,-1.0,0.96912,0,0
0.0,3200,15,17200,-1.0,0.96912,0,0
0.0,3200,15,17400,3200.0,0.98713,3,4
0.0,3200,15,17400,3200.0,0.98713,2,3
0.0,3200,15,17400,3200.0,0.98713,1,2
0.0,3200,15,17400,3200.0,0.98713,1,2
0.0,3200,15,17400,-1.0,0.98713,0,0
0.0,3200,15,17400,-1.0,0.98713,0,0
0.0,3200,15,17400,-1.0,0.98713,0,0
0.0,3200,15,17400,-1.0,0.98713,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17400,-1.0,0.98371,0,0
0.0,3200,15,17600,3200.0,0.99321,3,4
0.0,3200,15,17600,3200.0,0.99321,2,3
0.0,3200,15,17600,3200.0,0.99321,1,2
0.0,3200,15,17600,3200.0,0.99321,1,2
0.0,3200,15,17600,-1.0,0.99321,0,0
0.0,3200,15,17600,-1.0,0.99321,0,0
0.0,3200,15,17600,-1.0,0.99321,0,0
0.0,3200,15,17600,-1.0,0.99321,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17600,-1.0,0.9914,0,0
0.0,3200,15,17800,3200.0,0.99641,3,4
0.0,3200,15,17800,3200.0,0.99641,2,3
0.0,3200,15,17800,3200.0,0.99641,1,2
0.0,3200,15,17800,3200.0,0.99641,1,2
0.0,3200,15,17800,-1.0,0.99641,0,0
0.0,3200,15,17800,-1.0,0.99641,0,0
0.0,3200,15,17800,-1.0,0.99641,0,0
0.0,3200,15,17800,-1.0,0.99641,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,17800,-1.0,0.99546,0,0
0.0,3200,15,18000,3200.0,0.99811,3,4
0.0,3200,15,18000,3200.0,0.99811,2,3
0.0,3200,15,18000,3200.0,0.99811,1,2
0.0,3200,15,18000,3200.0,0.99811,1,2
0.0,3200,15,18000,-1.0,0.99811,0,0
0.0,3200,15,18000,-1.0,0.99811,0,0
0.0,3200,15,18000,-1.0,0.99811,0,0
0.0,3200,15,18000,-1.0,0.99811,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18000,-1.0,0.99761,0,0
0.0,3200,15,18200,3200.0,0.999,3,4
0.0,3200,15,18200,3200.0,0.999,2,3
0.0,3200,15,18200,3200.0,0.999,1,2
0.0,3200,15,18200,3200.0,0.999,1,2
0.0,3200,15,18200,-1.0,0.999,0,0
0.0,3200,15,18200,-1.0,0.999,0,0
0.0,3200,15,18200,-1.0,0.999,0,0
0.0,3200,15,18200,-1.0,0.999,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18200,-1.0,0.99874,0,0
0.0,3200,15,18400,3200.0,0.99947,3,4
0.0,3200,15,18400,3200.0,0.99947,2,3
0.0,3200,15,18400,3200.0,0.99947,1,2
0.0,3200,15,18400,3200.0,0.99947,1,2
0.0,3200,15,18400,-1.0,0.99947,0,0
0.0,3200,15,18400,-1.0,0.99947,0,0
0.0,3200,15,18400,-1.0,0.99947,0,0
0.0,3200,15,18400,-1.0,0.99947,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18400,-1.0,0.99933,0,0
0.0,3200,15,18600,3200.0,0.99972,3,4
0.0,3200,15,18600,3200.0,0.99972,2,3
0.0,3200,15,18600,3200.0,0.99972,1,2
0.0,3200,15,18600,3200.0,0.99972,1,2
0.0,3200,15,18600,-1.0,0.99972,0,0
0.0,3200,15,18600,-1.0,0.99972,0,0
0.0,3200,15,18600,-1.0,0.99972,0,0
0.0,3200,15,18600,-1.0,0.99972,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18600,-1.0,0.99965,0,0
0.0,3200,15,18800,3200.0,0.99985,3,4
0.0,3200,15,18800,3200.0,0.99985,2,3
0.0,3200,15,18800,3200.0,0.99985,1,2
0.0,3200,15,18800,3200.0,0.99985,1,2
0.0,3200,15,18800,-1.0,0.99985,0,0
0.0,3200,15,18800,-1.0,0.99985,0,0
0.0,3200,15,18800,-1.0,0.99985,0,0
0.0,3200,15,18800,-1.0,0.99985,0,0
0.0,3200,15,18800,-1.0,0.99981,0,0
0.0,3200,15,18800,-1.0,0.99981,0,0
0.0,3200,15,18800,-1.0,0.99981,0,0
