imposed_cv,imposed_T,seed,max_ticks,steady_S,final_S,S_crossed,S_cross_tick,measured_cv,final_pop,total_div,n_rv,rv_median,pct_premature,S_q1,S_q2,S_q3,S_q4,S_q5
0.0,800,4,20000,0.5468,0.1364,1,1350,0.0,56,661,661,0.4023,100.0,0.3623,0.5454,0.5519,0.5519,0.5519
0.0,800,5,20000,nan,0.0,0,-1,1.0,0,30,30,0.2389,100.0,0.0,,,,
0.0,800,6,20000,0.538,0.1349,1,1350,0.0,64,642,642,0.3707,100.0,0.3827,0.5431,0.5477,0.5411,0.5431
0.0,800,7,20000,0.5381,0.135,1,1350,0.0,64,642,642,0.3691,100.0,0.3827,0.5431,0.5477,0.5412,0.5431
0.0,800,8,20000,0.5344,0.135,1,1800,0.0,80,702,702,0.3919,100.0,0.3509,0.5456,0.5394,0.5464,0.5394
0.0,800,9,20000,0.5388,0.1365,1,1350,0.0,48,573,573,0.3867,100.0,0.3637,0.5439,0.5439,0.5437,0.5438
0.0,800,10,20000,0.5427,0.1365,1,1800,0.0,32,616,616,0.3697,100.0,0.346,0.5477,0.5411,0.5431,0.5477
0.0,800,11,20000,0.5352,0.1365,1,1850,0.0,62,601,601,0.3734,98.5,0.3263,0.541,0.5431,0.5477,0.5402
0.0,800,12,20000,0.5398,0.1363,1,600,0.0,38,680,680,0.3745,100.0,0.3943,0.5374,0.5447,0.5378,0.5449
0.0,800,13,20000,0.5379,0.1349,1,1350,0.0,64,642,642,0.3678,100.0,0.3821,0.5431,0.5477,0.5412,0.5429
0.0,800,14,20000,0.5344,0.135,1,1500,0.0,80,702,702,0.3902,100.0,0.3578,0.5463,0.5394,0.5464,0.5394
0.0,800,15,20000,nan,0.0,0,-1,1.0,0,30,30,0.2445,96.7,0.0,,,,
0.0,800,16,20000,0.5381,0.135,1,1800,0.0,64,617,617,0.3681,100.0,0.3235,0.5408,0.5477,0.5412,0.5431
0.0,800,17,20000,0.5427,0.1365,1,1800,0.0,32,616,616,0.3694,100.0,0.346,0.5477,0.5411,0.5431,0.5477
0.0,800,18,20000,0.5427,0.1365,1,1800,0.0,32,616,616,0.3706,99.8,0.346,0.5477,0.5412,0.5431,0.5477
0.0,800,19,20000,0.538,0.1349,1,1350,0.0,64,642,642,0.3726,100.0,0.3826,0.5431,0.5477,0.5411,0.5431
0.0,800,20,20000,0.5427,0.1365,1,1800,0.0,32,616,616,0.3694,100.0,0.346,0.5477,0.5412,0.5431,0.5477
0.0,800,21,20000,0.5362,0.1365,1,1850,0.0,64,603,603,0.3731,98.7,0.3264,0.541,0.5431,0.5477,0.5412
0.0,800,22,20000,0.5389,0.1365,1,1350,0.0,48,573,573,0.3832,100.0,0.3667,0.5439,0.544,0.544,0.544
0.0,800,23,20000,0.5361,0.1365,1,1350,0.0,64,645,645,0.3763,100.0,0.3755,0.5411,0.5431,0.5477,0.5411
0.0,800,24,20000,0.5389,0.1365,1,1350,0.0,48,573,573,0.3852,100.0,0.3618,0.5438,0.5439,0.5438,0.5439
0.0,1600,0,20000,0.7211,0.9122,1,1000,0.0,32,338,338,0.2442,85.2,0.3,0.7937,0.7187,0.8005,0.7187
0.0,1600,1,20000,0.7203,0.9115,1,600,0.0,32,335,335,0.2471,86.0,0.4154,0.7856,0.7183,0.8,0.7179
0.0,1600,2,20000,0.7185,0.9122,1,600,0.0,24,267,267,0.1941,84.6,0.4521,0.7979,0.7161,0.7988,0.7161
0.0,1600,3,20000,0.7211,0.9122,1,5050,0.0,32,297,297,0.2416,75.4,0.0744,0.6299,0.7128,0.8006,0.7187
0.0,1600,4,20000,0.7185,0.9122,1,1000,0.0,24,271,271,0.1933,81.5,0.2714,0.7361,0.7161,0.7988,0.7161
0.0,1600,5,20000,0.7153,0.9122,1,11700,0.0,32,212,212,0.1213,30.2,0.0,0.0,0.0891,0.5121,0.7128
0.0,1600,6,20000,0.721,0.9122,1,1000,0.0,32,338,338,0.2444,85.2,0.3,0.7936,0.7187,0.8005,0.7187
0.0,1600,7,20000,0.7211,0.9122,1,1000,0.0,32,338,338,0.2445,85.2,0.3,0.7937,0.7187,0.8006,0.7187
0.0,1600,8,20000,0.7211,0.9122,1,3600,0.0,32,312,312,0.2452,82.1,0.1892,0.7878,0.7187,0.8006,0.7187
0.0,1600,9,20000,0.7185,0.9122,1,2150,0.0,24,261,261,0.1926,75.5,0.2482,0.7928,0.716,0.7988,0.7161
0.0,1600,10,20000,0.7211,0.9122,1,3600,0.0,32,312,312,0.2427,82.1,0.1886,0.7878,0.7187,0.8005,0.7187
0.0,1600,11,20000,0.7211,0.9122,1,5050,0.0,32,297,297,0.2436,75.4,0.0744,0.6299,0.7128,0.8006,0.7187
0.0,1600,12,20000,0.7118,0.9095,1,600,0.0,22,246,246,0.182,80.5,0.4361,0.7922,0.7092,0.7935,0.7093
