seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
23,5300,8600,True,80000,0.222943,0.04159,-0.181353,20,20,200,200,0.209897,0.02834,-0.181558,20,20,200,200
24,4650,7700,True,80000,0.277634,0.041431,-0.236203,20,20,200,200,0.290783,0.03181,-0.258972,20,20,200,200
25,4850,-1,False,80000,0.255644,0.040894,-0.214749,20,20,200,200,0.250898,0.030533,-0.220365,20,20,200,200
26,4050,4900,True,80000,0.147477,0.042484,-0.104993,20,20,200,200,0.149974,0.030919,-0.119054,20,20,200,200
27,3800,5650,True,80000,0.329343,0.041693,-0.287651,20,20,200,200,0.350131,0.028971,-0.32116,20,20,200,200
28,5700,7000,True,80000,0.177737,0.04323,-0.134507,20,20,200,200,0.146353,0.0358,-0.110553,20,20,200,200
29,4750,6100,True,80000,0.209968,0.04132,-0.168648,20,20,200,200,0.209144,0.030346,-0.178798,20,20,200,200
30,4350,5550,True,80000,0.288406,0.040764,-0.247642,20,20,200,200,0.295911,0.032088,-0.263822,20,20,200,200
31,4700,6000,True,80000,0.264548,0.042967,-0.221581,20,20,200,200,0.274277,0.034511,-0.239765,20,20,200,200
32,4850,6350,True,80000,0.243184,0.041202,-0.201982,20,20,200,200,0.2426,0.033264,-0.209336,20,20,200,200
33,3650,4900,True,80000,0.142311,0.041833,-0.100478,20,20,200,200,0.14569,0.028804,-0.116887,20,20,200,200
34,5350,31350,True,80000,0.233744,0.044578,-0.189165,20,20,200,200,0.216915,0.032894,-0.184021,20,20,200,200
35,4850,19000,True,80000,0.266847,0.041166,-0.225681,20,20,200,200,0.266456,0.029815,-0.236641,20,20,200,200
36,4800,-1,False,80000,0.251147,0.041907,-0.209241,20,20,200,200,0.245141,0.030673,-0.214468,20,20,200,200
37,4850,-1,False,80000,0.256258,0.039144,-0.217113,20,20,200,200,0.256551,0.027302,-0.229248,20,20,200,200
38,3900,5000,True,80000,0.3353,0.042406,-0.292894,20,20,200,200,0.357067,0.032403,-0.324665,20,20,200,200
40,4750,-1,False,80000,0.266317,0.044185,-0.222132,20,20,200,200,0.268761,0.034919,-0.233842,20,20,200,200
41,4000,6100,True,80000,0.295612,0.043041,-0.252571,20,20,200,200,0.311185,0.031474,-0.279711,20,20,200,200
42,3700,5800,True,80000,0.316507,0.041531,-0.274976,20,20,200,200,0.332778,0.032858,-0.29992,20,20,200,200
43,3800,5400,True,80000,0.268222,0.041988,-0.226235,20,20,200,200,0.285186,0.031879,-0.253307,20,20,200,200
45,4400,5650,True,80000,0.293,0.040976,-0.252024,20,20,200,200,0.308917,0.033331,-0.275587,20,20,200,200
46,3900,5250,True,80000,0.279959,0.043203,-0.236757,20,20,200,200,0.289853,0.030018,-0.259835,20,20,200,200
47,4300,5450,True,80000,0.262576,0.039126,-0.22345,20,20,200,200,0.276979,0.031768,-0.245211,20,20,200,200
48,3850,6050,True,80000,0.300358,0.039869,-0.260489,20,20,200,200,0.31449,0.028494,-0.285996,20,20,200,200
49,3750,5050,True,80000,0.328249,0.042663,-0.285586,20,20,200,200,0.347962,0.031794,-0.316168,20,20,200,200
50,4200,27400,True,80000,0.265019,0.042808,-0.222211,20,20,200,200,0.27796,0.03015,-0.24781,20,20,200,200
51,4400,6000,True,80000,0.294164,0.041823,-0.252341,20,20,200,200,0.304653,0.031336,-0.273317,20,20,200,200
52,4400,5800,True,80000,0.253162,0.040882,-0.21228,20,20,200,200,0.261289,0.033124,-0.228165,20,20,200,200
53,4000,5600,True,80000,0.351336,0.042028,-0.309308,20,20,200,200,0.366562,0.034291,-0.33227,20,20,200,200
54,3750,5400,True,80000,0.301645,0.044011,-0.257633,20,20,200,200,0.322662,0.03281,-0.289852,20,20,200,200
55,5350,6600,True,80000,0.198078,0.042643,-0.155436,20,20,200,200,0.185878,0.034437,-0.151441,20,20,200,200
56,4800,-1,False,80000,0.261055,0.04043,-0.220626,20,20,200,200,0.261807,0.028891,-0.232916,20,20,200,200
57,4750,6550,True,80000,0.241758,0.040987,-0.200771,20,20,200,200,0.250217,0.03273,-0.217486,20,20,200,200
58,3800,5600,True,80000,0.328076,0.04266,-0.285415,20,20,200,200,0.345262,0.030908,-0.314354,20,20,200,200
59,5350,-1,False,80000,0.223446,0.041382,-0.182065,20,20,200,200,0.21188,0.03341,-0.178471,20,20,200,200
