seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
0,5150,-1,False,80000,0.256716,0.042636,-0.21408,20,20,200,200,0.249371,0.033694,-0.215677,20,20,200,200
1,5300,-1,False,80000,0.223869,0.039171,-0.184698,20,20,200,200,0.198997,0.030262,-0.168735,20,20,200,200
2,9650,-1,False,80000,0.101925,0.041499,-0.060426,20,20,200,200,0.035257,0.030388,-0.00487,20,20,200,200
3,4200,5050,True,80000,0.159148,0.040917,-0.118231,20,20,200,200,0.164061,0.029779,-0.134282,20,20,200,200
4,4850,6550,True,80000,0.189258,0.040127,-0.149131,20,20,200,200,0.183598,0.030517,-0.153082,20,20,200,200
5,4400,5250,True,80000,0.067609,0.041474,-0.026135,20,20,200,200,0.033278,0.031426,-0.001852,20,20,200,200
6,8850,-1,False,80000,0.123993,0.040173,-0.08382,20,20,200,200,0.046397,0.030683,-0.015714,20,20,200,200
7,4900,12600,True,80000,0.261837,0.042447,-0.219389,20,20,200,200,0.259389,0.031305,-0.228084,20,20,200,200
8,3900,5150,True,80000,0.365598,0.044314,-0.321284,20,20,200,200,0.390446,0.035665,-0.354781,20,20,200,200
9,4350,5650,True,80000,0.262301,0.041896,-0.220405,20,20,200,200,0.268465,0.030817,-0.237648,20,20,200,200
10,3700,5300,True,80000,0.341545,0.042766,-0.298779,20,20,200,200,0.360181,0.034622,-0.325559,20,20,200,200
11,3700,5100,True,80000,0.137055,0.042227,-0.094828,20,20,200,200,0.145616,0.035215,-0.110401,20,20,200,200
12,8100,-1,False,80000,0.148615,0.042652,-0.105963,20,20,200,200,0.056097,0.033923,-0.022173,20,20,200,200
13,4800,29700,True,80000,0.267291,0.042196,-0.225095,20,20,200,200,0.266108,0.029124,-0.236985,20,20,200,200
14,4250,5650,True,80000,0.257428,0.041166,-0.216262,20,20,200,200,0.266387,0.031157,-0.23523,20,20,200,200
16,3900,10450,True,80000,0.336107,0.043028,-0.29308,20,20,200,200,0.364047,0.032128,-0.331919,20,20,200,200
17,3650,5150,True,80000,0.308312,0.045124,-0.263188,20,20,200,200,0.330667,0.032612,-0.298055,20,20,200,200
18,4100,5400,True,80000,0.349338,0.041195,-0.308143,20,20,200,200,0.362459,0.030736,-0.331723,20,20,200,200
19,4850,-1,False,80000,0.268837,0.039191,-0.229646,20,20,200,200,0.271466,0.031321,-0.240145,20,20,200,200
20,3900,5250,True,80000,0.337884,0.042188,-0.295696,20,20,200,200,0.359539,0.031771,-0.327768,20,20,200,200
21,4200,5000,True,80000,0.110412,0.04241,-0.068002,20,20,200,200,0.116667,0.03198,-0.084687,20,20,200,200
22,4150,5850,True,80000,0.275095,0.041226,-0.233869,20,20,200,200,0.281481,0.031107,-0.250375,20,20,200,200
