lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4991
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4819
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4693
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4638
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4474
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4834
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.5082
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4616
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.5277
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.5043
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4929
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.5016
,0.0,3200,5,16400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4718
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4834
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4417
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4145
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4836
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.5042
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4572
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4717
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4756
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4098
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4475
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4198
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4218
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4274
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.383
,0.0,3200,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4803
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3873
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3826
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4064
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3967
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3802
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3788
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3645
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3935
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4095
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3736
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4259
