seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
44,4900,-1,False,10000,0.226355,0.207284,-0.01907,20,20,20,20,0.226355,0.182413,-0.043942,20,20,20,20
45,5300,-1,False,10000,0.222337,0.191379,-0.030958,20,20,20,20,0.222337,0.165558,-0.056779,20,20,20,20
46,3800,5750,True,10000,0.12681,0.326009,0.199198,20,20,20,20,0.12681,0.331814,0.205004,20,20,20,20
47,5400,-1,False,10000,0.200478,0.156479,-0.043999,20,20,20,20,0.200478,0.10772,-0.092758,20,20,20,20
48,4850,-1,False,10000,0.268131,0.249191,-0.01894,20,20,20,20,0.268131,0.22802,-0.040111,20,20,20,20
49,4950,8450,True,10000,0.246301,0.245954,-0.000347,20,20,20,20,0.246301,0.226725,-0.019575,20,20,20,20
50,5250,6850,True,10000,0.191503,0.165499,-0.026003,20,20,20,20,0.191503,0.125971,-0.065532,20,20,20,20
51,4800,-1,False,10000,0.244629,0.254134,0.009505,20,20,20,20,0.244629,0.239284,-0.005345,20,20,20,20
52,9600,-1,False,10000,,,,0,0,0,0,,,,0,0,0,0
53,5800,-1,False,10000,0.182737,0.11983,-0.062907,20,20,15,15,0.182737,0.064886,-0.117851,20,20,15,15
54,4000,5350,True,10000,0.09994,0.298285,0.198345,20,20,20,20,0.09994,0.291787,0.191847,20,20,20,20
55,7550,-1,False,10000,0.235564,,,20,20,0,0,0.211145,,,20,20,0,0
56,5600,7300,True,10000,0.186993,0.135523,-0.051471,20,20,19,19,0.186993,0.096781,-0.090212,20,20,19,19
57,3750,5100,True,10000,0.128865,0.366558,0.237693,20,20,20,20,0.128865,0.370598,0.241733,20,20,20,20
58,5150,-1,False,10000,0.238737,0.217756,-0.020981,20,20,20,20,0.238737,0.201552,-0.037185,20,20,20,20
59,4100,5700,True,10000,0.131499,0.297296,0.165797,20,20,20,20,0.131499,0.29526,0.163762,20,20,20,20
