imposed_cv,imposed_T,seed,steady_S,n_obs,n_pop_samples,final_pop,frac_lt2_div,frac_lt4_div,mean_realized_interval
1.0,3200,15,0.0,418,81,20,0.6029,0.9809,2454.01
1.0,3200,14,0.85777,743,81,37,0.4105,0.7793,2722.14
1.0,3200,17,0.88402,740,81,33,0.4838,0.8459,2854.24
1.0,3200,16,0.85324,747,81,37,0.3092,0.751,3563.14
1.0,3200,18,0.82612,752,81,44,0.4628,0.754,2825.42
1.0,3200,19,0.85769,740,81,34,0.3986,0.8568,3343.2
1.0,3200,21,0.84575,744,81,35,0.4677,0.7863,3086.2
1.0,6400,3,0.04962,423,81,19,0.7045,0.9078,4614.86
1.0,3200,20,0.82079,747,81,36,0.4511,0.6627,2181.68
1.0,6400,0,0.90554,752,81,35,0.6237,0.9495,3524.47
1.0,6400,5,0.12243,363,81,21,0.741,1.0,3682.74
1.0,6400,2,0.92013,730,81,34,0.5644,0.9151,4410.03
1.0,3200,23,0.84494,743,81,34,0.5195,0.8183,3841.9
1.0,6400,1,0.92629,745,81,34,0.5906,0.9074,4415.0
1.0,3200,22,0.83931,746,81,33,0.3807,0.7681,2976.09
1.0,3200,24,0.84636,731,81,34,0.4774,0.7866,2442.48
1.0,6400,4,0.80277,693,81,35,0.7619,0.938,4813.86
1.0,6400,6,0.93631,732,81,33,0.6749,0.9413,2270.34
1.0,6400,8,0.92016,671,81,36,0.772,0.9061,2417.55
1.0,6400,7,0.94912,732,81,35,0.6926,0.9413,3296.92
1.0,6400,9,0.91076,684,81,37,0.8114,0.9167,3111.61
1.0,6400,11,0.35417,416,81,21,0.7404,0.9736,4972.09
1.0,6400,15,0.0,425,81,22,0.6259,1.0,5389.92
1.0,6400,10,0.91474,741,81,35,0.6545,0.942,2775.88
1.0,6400,18,0.79239,419,81,24,0.7589,0.9308,3746.3
1.0,6400,16,0.88968,718,81,35,0.6894,0.9568,4123.68
1.0,6400,14,0.92376,729,81,36,0.6406,0.9945,3245.4
1.0,6400,19,0.88929,720,81,35,0.7444,0.9625,2229.6
1.0,6400,21,0.6534,425,81,24,0.7271,0.9741,3844.96
1.0,6400,20,0.90157,714,81,36,0.7409,0.944,4503.11
1.0,6400,12,0.88494,736,81,37,0.5163,0.8913,4067.79
1.0,6400,17,0.91402,748,81,35,0.5628,0.8957,3384.4
1.0,6400,13,0.93769,740,81,34,0.5716,0.8919,3967.18
1.0,6400,22,0.93072,738,81,34,0.7317,0.935,3102.23
1.0,6400,24,0.83744,600,81,35,0.7883,0.9283,2102.3
1.0,6400,23,0.87478,685,81,35,0.7737,0.9635,4223.85
