seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
26,4050,4900,True,80000,0.147477,0.042484,-0.104993,20,20,200,200,,0.036518,,0,20,200,200
27,3800,5650,True,80000,0.329343,0.041693,-0.287651,20,20,200,200,,0.035326,,0,20,200,200
28,5700,7000,True,80000,0.177737,0.04323,-0.134507,20,20,200,200,,0.040131,,0,20,200,200
29,4750,6100,True,80000,0.209968,0.04132,-0.168648,20,20,200,200,,0.035712,,0,20,200,200
30,4350,5550,True,80000,0.288406,0.040764,-0.247642,20,20,200,200,,0.036642,,0,20,200,200
31,4700,6000,True,80000,0.264548,0.042967,-0.221581,20,20,200,200,,0.039319,,0,20,200,200
32,4850,6350,True,80000,0.243184,0.041202,-0.201982,20,20,200,200,,0.039506,,0,20,200,200
33,3650,4900,True,80000,0.142311,0.041833,-0.100478,20,20,200,200,,0.035086,,0,20,200,200
34,5350,31350,True,80000,0.233744,0.044578,-0.189165,20,20,200,200,,0.037978,,0,20,200,200
35,4850,19000,True,80000,0.266847,0.041166,-0.225681,20,20,200,200,,0.036005,,0,20,200,200
36,4800,-1,False,80000,0.251147,0.041907,-0.209241,20,20,200,200,,0.036112,,0,20,200,200
37,4850,-1,False,80000,0.256258,0.039144,-0.217113,20,20,200,200,,0.033579,,0,20,200,200
38,3900,5000,True,80000,0.3353,0.042406,-0.292894,20,20,200,200,,0.037731,,0,20,200,200
40,4750,-1,False,80000,0.266317,0.044185,-0.222132,20,20,200,200,,0.040674,,0,20,200,200
41,4000,6100,True,80000,0.295612,0.043041,-0.252571,20,20,200,200,,0.036731,,0,20,200,200
42,3700,5800,True,80000,0.316507,0.041531,-0.274976,20,20,200,200,,0.038198,,0,20,200,200
43,3800,5400,True,80000,0.268222,0.041988,-0.226235,20,20,200,200,,0.038687,,0,20,200,200
45,4400,5650,True,80000,0.293,0.040976,-0.252024,20,20,200,200,,0.037677,,0,20,200,200
46,3900,5250,True,80000,0.279959,0.043203,-0.236757,20,20,200,200,,0.035719,,0,20,200,200
47,4300,5450,True,80000,0.262576,0.039126,-0.22345,20,20,200,200,,0.035126,,0,20,200,200
48,3850,6050,True,80000,0.300358,0.039869,-0.260489,20,20,200,200,,0.034045,,0,20,200,200
49,3750,5050,True,80000,0.328249,0.042663,-0.285586,20,20,200,200,,0.036676,,0,20,200,200
50,4200,27400,True,80000,0.265019,0.042808,-0.222211,20,20,200,200,,0.036576,,0,20,200,200
51,4400,6000,True,80000,0.294164,0.041823,-0.252341,20,20,200,200,,0.037092,,0,20,200,200
52,4400,5800,True,80000,0.253162,0.040882,-0.21228,20,20,200,200,,0.0382,,0,20,200,200
53,4000,5600,True,80000,0.351336,0.042028,-0.309308,20,20,200,200,,0.038754,,0,20,200,200
54,3750,5400,True,80000,0.301645,0.044011,-0.257633,20,20,200,200,,0.037692,,0,20,200,200
55,5350,6600,True,80000,0.198078,0.042643,-0.155436,20,20,200,200,,0.038257,,0,20,200,200
56,4800,-1,False,80000,0.261055,0.04043,-0.220626,20,20,200,200,,0.034462,,0,20,200,200
57,4750,6550,True,80000,0.241758,0.040987,-0.200771,20,20,200,200,,0.03755,,0,20,200,200
58,3800,5600,True,80000,0.328076,0.04266,-0.285415,20,20,200,200,,0.035671,,0,20,200,200
59,5350,-1,False,80000,0.223446,0.041382,-0.182065,20,20,200,200,,0.038476,,0,20,200,200
60,4150,4950,True,80000,0.079056,0.041111,-0.037944,20,20,200,200,,0.036778,,0,20,200,200
61,4650,-1,False,80000,0.24163,0.044191,-0.197439,20,20,200,200,,0.039142,,0,20,200,200
62,3800,6900,True,80000,0.136935,0.040311,-0.096624,20,20,200,200,,0.037044,,0,20,200,200
63,4850,-1,False,80000,0.249341,0.041606,-0.207736,20,20,200,200,,0.038565,,0,20,200,200
64,4300,5500,True,80000,0.285573,0.041555,-0.244018,20,20,200,200,,0.035953,,0,20,200,200
65,4400,5950,True,80000,0.254908,0.042424,-0.212483,20,20,200,200,,0.036297,,0,20,200,200
66,3900,5500,True,80000,0.282512,0.039834,-0.242678,20,20,200,200,,0.036417,,0,20,200,200
67,4200,5450,True,80000,0.259488,0.04104,-0.218448,20,20,200,200,,0.037226,,0,20,200,200
68,4000,5500,True,80000,0.339628,0.041955,-0.297673,20,20,200,200,,0.038015,,0,20,200,200
69,3700,5450,True,80000,0.127608,0.041213,-0.086395,20,20,200,200,,0.036819,,0,20,200,200
70,4000,5450,True,80000,0.290284,0.04037,-0.249914,20,20,200,200,,0.035095,,0,20,200,200
71,4400,6000,True,80000,0.287603,0.038768,-0.248836,20,20,200,200,,0.035905,,0,20,200,200
72,4300,7400,True,80000,0.248244,0.041819,-0.206425,20,20,200,200,,0.035752,,0,20,200,200
73,3850,5300,True,80000,0.306068,0.0419,-0.264168,20,20,200,200,,0.03783,,0,20,200,200
74,4200,5800,True,80000,0.277838,0.041738,-0.2361,20,20,200,200,,0.038329,,0,20,200,200
75,4250,7650,True,80000,0.229341,0.041286,-0.188055,20,20,200,200,,0.037375,,0,20,200,200
76,4800,15050,True,80000,0.259343,0.038888,-0.220454,20,20,200,200,,0.036052,,0,20,200,200
77,4300,5950,True,80000,0.256487,0.042513,-0.213973,20,20,200,200,,0.037532,,0,20,200,200
78,4300,5800,True,80000,0.260236,0.042059,-0.218177,20,20,200,200,,0.037215,,0,20,200,200
79,4200,9600,True,80000,0.283961,0.039792,-0.244169,20,20,200,200,,0.034788,,0,20,200,200
80,5150,6200,True,80000,0.259765,0.040609,-0.219156,20,20,200,200,,0.034733,,0,20,200,200
81,4300,6000,True,80000,0.26305,0.040746,-0.222304,20,20,200,200,,0.036553,,0,20,200,200
82,3900,5000,True,80000,0.352512,0.041869,-0.310643,20,20,200,200,,0.038928,,0,20,200,200
83,5050,-1,False,80000,0.277245,0.042286,-0.234959,20,20,200,200,,0.036812,,0,20,200,200
84,4950,7800,True,80000,0.266901,0.041934,-0.224967,20,20,200,200,,0.036652,,0,20,200,200
85,8250,-1,False,80000,0.137835,0.043722,-0.094112,20,20,200,200,0.259823,0.038632,-0.221191,20,20,200,200
86,4400,5800,True,80000,0.27293,0.041372,-0.231558,20,20,200,200,,0.038923,,0,20,200,200
87,4400,5550,True,80000,0.274247,0.040776,-0.23347,20,20,200,200,,0.037563,,0,20,200,200
88,3950,5200,True,80000,0.328352,0.041435,-0.286917,20,20,200,200,,0.037715,,0,20,200,200
89,3650,5200,True,80000,0.336724,0.044579,-0.292144,20,20,200,200,,0.039597,,0,20,200,200
90,3700,5750,True,80000,0.312223,0.041144,-0.27108,20,20,200,200,,0.036055,,0,20,200,200
91,3800,4350,True,80000,0.28385,0.041033,-0.242816,20,20,200,200,0.356966,0.034908,-0.322058,4,20,200,200
92,4250,5650,True,80000,0.270357,0.040503,-0.229853,20,20,200,200,,0.037598,,0,20,200,200
93,4150,6000,True,80000,0.272159,0.042452,-0.229707,20,20,200,200,,0.038769,,0,20,200,200
94,3600,5050,True,80000,0.255578,0.040356,-0.215222,20,20,200,200,,0.036571,,0,20,200,200
95,4400,5750,True,80000,0.289107,0.038711,-0.250396,20,20,200,200,,0.03447,,0,20,200,200
96,4300,5950,True,80000,0.289297,0.043811,-0.245486,20,20,200,200,,0.037978,,0,20,200,200
97,3800,4800,True,80000,0.283168,0.042197,-0.240971,20,20,200,200,,0.037114,,0,20,200,200
98,5200,-1,False,80000,0.232821,0.040708,-0.192113,20,20,200,200,,0.037914,,0,20,200,200
99,4050,4850,True,80000,0.183794,0.039772,-0.144021,20,20,200,200,,0.03474,,0,20,200,200
