seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
0,5150,-1,False,80000,0.256716,0.042636,-0.21408,20,20,200,200,,0.040976,,0,20,200,200
1,5300,-1,False,80000,0.223869,0.039171,-0.184698,20,20,200,200,,0.035722,,0,20,200,200
2,9650,-1,False,80000,0.101925,0.041499,-0.060426,20,20,200,200,0.224524,0.035384,-0.18914,20,20,200,200
3,4200,5050,True,80000,0.159148,0.040917,-0.118231,20,20,200,200,0.255778,0.035324,-0.220454,2,20,200,200
4,4850,6550,True,80000,0.189258,0.040127,-0.149131,20,20,200,200,,0.034735,,0,20,200,200
5,4400,5250,True,80000,0.067609,0.041474,-0.026135,20,20,200,200,,0.037746,,0,20,200,200
6,8850,-1,False,80000,0.123993,0.040173,-0.08382,20,20,200,200,0.257953,0.03714,-0.220812,20,20,200,200
7,4900,12600,True,80000,0.261837,0.042447,-0.219389,20,20,200,200,,0.036953,,0,20,200,200
8,3900,5150,True,80000,0.365598,0.044314,-0.321284,20,20,200,200,,0.041402,,0,20,200,200
9,4350,5650,True,80000,0.262301,0.041896,-0.220405,20,20,200,200,,0.03685,,0,20,200,200
10,3700,5300,True,80000,0.341545,0.042766,-0.298779,20,20,200,200,,0.039809,,0,20,200,200
11,3700,5100,True,80000,0.137055,0.042227,-0.094828,20,20,200,200,,0.039457,,0,20,200,200
12,8100,-1,False,80000,0.148615,0.042652,-0.105963,20,20,200,200,0.245033,0.037405,-0.207628,20,20,200,200
13,4800,29700,True,80000,0.267291,0.042196,-0.225095,20,20,200,200,,0.034399,,0,20,200,200
14,4250,5650,True,80000,0.257428,0.041166,-0.216262,20,20,200,200,,0.035231,,0,20,200,200
16,3900,10450,True,80000,0.336107,0.043028,-0.29308,20,20,200,200,,0.037415,,0,20,200,200
17,3650,5150,True,80000,0.308312,0.045124,-0.263188,20,20,200,200,,0.038294,,0,20,200,200
18,4100,5400,True,80000,0.349338,0.041195,-0.308143,20,20,200,200,,0.037257,,0,20,200,200
19,4850,-1,False,80000,0.268837,0.039191,-0.229646,20,20,200,200,,0.035465,,0,20,200,200
20,3900,5250,True,80000,0.337884,0.042188,-0.295696,20,20,200,200,,0.036862,,0,20,200,200
21,4200,5000,True,80000,0.110412,0.04241,-0.068002,20,20,200,200,,0.036207,,0,20,200,200
22,4150,5850,True,80000,0.275095,0.041226,-0.233869,20,20,200,200,,0.036789,,0,20,200,200
23,5300,8600,True,80000,0.222943,0.04159,-0.181353,20,20,200,200,,0.033531,,0,20,200,200
24,4650,7700,True,80000,0.277634,0.041431,-0.236203,20,20,200,200,,0.037495,,0,20,200,200
25,4850,-1,False,80000,0.255644,0.040894,-0.214749,20,20,200,200,,0.036699,,0,20,200,200
