geom,seed,sample_interval,max_ticks,gated_B,gated_C,gated_D,gated_delay,gated_clock_first,ungated_B,ungated_C,cosat,ungated_delay,ungated_clock_first,final_phase,final_pop,final_mean_s,final_mean_cv,total_divisions,elapsed_s
1d,58,1,80000,3733,3734,5554,1,True,3733,2279,3733,-1454,False,D,41,0.7249,0.0411,1211,518.3
1d,59,1,80000,5258,5259,-1,1,True,5258,1240,5258,-4018,False,C,39,0.7436,0.041,1212,519.3
1d,60,1,80000,3879,4111,4933,232,True,3879,2440,4111,-1439,False,D,40,0.7105,0.0402,1214,509.9
1d,61,1,80000,4562,4563,-1,1,True,4562,1234,4562,-3328,False,C,40,0.7428,0.0428,1203,510.4
1d,62,1,80000,3732,3733,6877,1,True,3732,2559,3732,-1173,False,D,39,0.7656,0.0426,1198,508.8
1d,63,1,80000,4790,4791,-1,1,True,4790,1309,4790,-3481,False,C,35,0.9508,0.0415,1206,510.0
1d,64,1,80000,4219,4220,5493,1,True,4219,1287,4219,-2932,False,D,42,0.6591,0.041,1206,508.5
1d,65,1,80000,4325,4326,5906,1,True,4325,1412,4325,-2913,False,D,40,0.7321,0.0436,1202,504.3
1d,66,1,80000,3823,3824,5498,1,True,3823,2224,3823,-1599,False,D,39,0.7338,0.0419,1205,504.9
1d,67,1,80000,4131,4132,5446,1,True,4131,1334,4131,-2797,False,D,42,0.6478,0.0389,1208,502.3
1d,68,1,80000,3791,3792,5493,1,True,3791,2207,3791,-1584,False,D,37,0.807,0.0424,1208,504.0
1d,69,1,80000,3628,3629,5208,1,True,3628,2463,3628,-1165,False,D,40,0.7583,0.0424,1206,506.6
1d,70,1,80000,3911,3912,5427,1,True,3911,2281,3911,-1630,False,D,39,0.7494,0.042,1206,501.5
1d,71,1,80000,4310,4311,5953,1,True,4310,1317,4310,-2993,False,D,35,0.8608,0.0419,1206,480.0
1d,72,1,80000,4244,4245,7383,1,True,4244,1348,4244,-2896,False,D,39,0.8127,0.0396,1212,469.3
1d,73,1,80000,3765,3766,5285,1,True,3765,2217,3765,-1548,False,D,36,0.8441,0.0409,1203,372.9
1d,74,1,80000,4124,4125,5755,1,True,4124,1462,4124,-2662,False,D,41,0.6578,0.0423,1205,367.9
1d,75,1,80000,4163,4164,7604,1,True,4163,1294,4163,-2869,False,D,39,0.734,0.0403,1207,381.6
1d,76,1,80000,4709,4710,15048,1,True,4709,1266,4709,-3443,False,D,41,0.699,0.0408,1205,377.8
1d,77,1,80000,4220,4221,5932,1,True,4220,1360,4220,-2860,False,D,38,0.8578,0.0424,1206,384.7
1d,78,1,80000,4214,4215,5771,1,True,4214,1340,4214,-2874,False,D,38,0.8328,0.0402,1213,384.7
1d,79,1,80000,4132,4133,9597,1,True,4132,1404,4132,-2728,False,D,40,0.6974,0.042,1208,381.0
1d,80,1,80000,5089,5090,6179,1,True,5089,1324,5089,-3765,False,D,46,0.5936,0.0406,1197,378.8
1d,81,1,80000,4202,4203,5967,1,True,4202,1376,4202,-2826,False,D,39,0.819,0.0414,1206,384.4
1d,82,1,80000,3836,3837,4991,1,True,3836,2271,3836,-1565,False,D,38,0.7011,0.0428,1205,381.1
1d,83,1,80000,4987,4988,-1,1,True,4987,1288,4987,-3699,False,C,39,0.7844,0.0401,1202,380.6
1d,84,1,80000,4857,4858,7783,1,True,4857,1265,4857,-3592,False,D,40,0.7387,0.0414,1201,381.0
1d,85,1,80000,8158,8159,-1,1,True,8158,560,8158,-7598,False,C,38,0.7965,0.0418,1217,389.9
1d,86,1,80000,4316,4317,5751,1,True,4316,1359,4316,-2957,False,D,37,0.8327,0.0415,1216,386.8
1d,87,1,80000,4336,4337,5537,1,True,4336,1328,4336,-3008,False,D,39,0.7492,0.04,1206,379.7
1d,88,1,80000,3834,3946,5189,112,True,3834,2197,3946,-1637,False,D,40,0.7455,0.0399,1203,379.2
1d,89,1,80000,3567,3568,5183,1,True,3567,2196,3567,-1371,False,D,40,0.7289,0.0404,1213,380.0
1d,90,1,80000,3619,3620,5720,1,True,3619,2263,3619,-1356,False,D,37,0.8199,0.0415,1211,373.2
1d,91,1,80000,3415,3416,4320,1,True,3415,2264,3415,-1151,False,D,37,0.835,0.0417,1199,368.9
1d,92,1,80000,4190,4191,5635,1,True,4190,1328,4190,-2862,False,D,37,0.8089,0.0404,1201,366.4
1d,93,1,80000,4077,4078,6000,1,True,4077,1340,4077,-2737,False,D,41,0.6858,0.0427,1206,313.3
1d,94,1,80000,3546,3547,5021,1,True,3546,2245,3546,-1301,False,D,38,0.8125,0.038,1201,312.6
1d,95,1,80000,4342,4343,5739,1,True,4342,1322,4342,-3020,False,D,39,0.8017,0.0398,1208,321.7
1d,96,1,80000,4234,4235,5949,1,True,4234,1325,4234,-2909,False,D,38,0.8621,0.0409,1211,320.6
1d,97,1,80000,3573,3574,4789,1,True,3573,2189,3573,-1384,False,D,36,0.8677,0.0409,1204,313.2
1d,98,1,80000,5148,5149,-1,1,True,5148,560,5148,-4588,False,C,37,0.8371,0.0417,1210,315.4
1d,99,1,80000,3655,3656,4823,1,True,3655,2322,3655,-1333,False,D,40,0.7405,0.0389,1219,317.7
