seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
60,5450,-1,False,10000,0.238965,0.208868,-0.030097,20,20,20,20,,0.246394,,0,20,6,20
61,5250,-1,False,10000,0.212333,0.173997,-0.038336,20,20,20,20,,0.21771,,0,20,4,20
62,6200,-1,False,10000,0.208594,0.136652,-0.071942,20,20,7,7,,,,0,20,0,7
63,5450,6850,True,10000,0.22137,0.165529,-0.055841,20,20,20,20,,0.208379,,0,20,6,20
64,4450,6150,True,10000,0.168757,0.261211,0.092454,20,20,20,20,,0.310007,,0,20,4,20
66,6000,-1,False,10000,0.202551,0.137435,-0.065116,20,20,11,11,,,,0,20,0,11
67,3900,5400,True,10000,0.103241,0.348957,0.245716,20,20,20,20,,0.343291,,0,20,12,20
68,4800,-1,False,10000,0.231622,0.238374,0.006752,20,20,20,20,,0.260803,,0,20,7,20
69,6100,-1,False,10000,0.201609,0.120665,-0.080945,20,20,9,9,,,,0,20,0,9
70,5050,6350,True,10000,0.210495,0.217191,0.006696,20,20,20,20,,0.243244,,0,20,4,20
71,4200,5800,True,10000,0.176793,0.295605,0.118812,20,20,20,20,,0.321999,,0,20,6,20
72,5400,-1,False,10000,0.251293,0.230792,-0.020501,20,20,20,20,,0.249787,,0,20,6,20
73,5400,-1,False,10000,0.256631,0.210707,-0.045925,20,20,20,20,,0.257115,,0,20,5,20
74,5100,-1,False,10000,0.239518,0.206136,-0.033382,20,20,20,20,,0.236845,,0,20,8,20
75,4450,5650,True,10000,0.155546,0.258769,0.103223,20,20,20,20,,0.285858,,0,20,8,20
76,6100,-1,False,10000,0.209336,0.125576,-0.08376,20,20,9,9,,,,0,20,0,9
77,4450,5850,True,10000,0.187225,0.291653,0.104428,20,20,20,20,,0.309385,,0,20,4,20
78,4100,4900,True,10000,0.118534,0.288777,0.170243,20,20,20,20,,0.286032,,0,20,20,20
79,5250,-1,False,10000,0.264679,0.218266,-0.046414,20,20,20,20,,0.254444,,0,20,7,20
80,4600,-1,False,10000,0.210893,0.257861,0.046968,20,20,20,20,,0.254564,,0,20,4,20
81,3900,5550,True,10000,0.124494,0.347019,0.222525,20,20,20,20,,0.357778,,0,20,13,20
82,5300,-1,False,10000,0.259251,0.225626,-0.033625,20,20,20,20,,0.231469,,0,20,4,20
83,4400,5650,True,10000,0.132741,0.256247,0.123505,20,20,20,20,,0.289074,,0,20,6,20
84,6250,-1,False,10000,0.196636,0.111315,-0.085321,20,20,6,6,,,,0,20,0,6
85,5500,-1,False,10000,0.197569,0.152055,-0.045515,20,20,20,20,,0.186696,,0,20,6,20
86,5300,8900,True,10000,0.20534,0.154918,-0.050422,20,20,20,20,,0.209669,,0,20,6,20
87,4300,5600,True,10000,0.160901,0.285764,0.124863,20,20,20,20,,0.320756,,0,20,5,20
88,4450,5850,True,10000,0.150478,0.261392,0.110914,20,20,20,20,,0.27985,,0,20,7,20
89,5300,-1,False,10000,0.268409,0.233138,-0.035271,20,20,20,20,,0.25166,,0,20,3,20
90,5300,-1,False,10000,0.28719,0.252338,-0.034852,20,20,20,20,,,,0,20,0,20
91,4950,-1,False,10000,0.249343,0.230381,-0.018962,20,20,20,20,,0.259209,,0,20,4,20
92,4500,6000,True,10000,0.196279,0.266467,0.070188,20,20,20,20,,0.297688,,0,20,3,20
93,8850,-1,False,10000,0.176877,,,14,14,0,0,0.270627,,,13,14,0,0
94,5200,-1,False,10000,0.220728,0.18276,-0.037968,20,20,20,20,,0.236684,,0,20,6,20
95,3850,5750,True,10000,0.149082,0.337613,0.188531,20,20,20,20,,0.336888,,0,20,5,20
96,3750,5200,True,10000,0.124989,0.342978,0.217989,20,20,20,20,,0.358536,,0,20,13,20
97,5250,-1,False,10000,0.258515,0.232977,-0.025538,20,20,20,20,,0.254661,,0,20,2,20
98,4300,5700,True,10000,0.14572,0.282059,0.136339,20,20,20,20,,0.28966,,0,20,7,20
99,5100,-1,False,10000,0.248155,0.245966,-0.002189,20,20,20,20,,,,0,20,0,20
