variant,seed,max_ticks,rhist_every,rhist_len,buffer_ticks,sample_interval,def_S,def_CV,def_clock_r,xB,xC,ss_clock_r,ss_cv,final_pop,total_divisions,T_div
buf12000,12,40000,100,120,12000,50,150,5350,12000,8050,600,0.642485,0.043192,37,606,2442.2
buf12000,13,40000,100,120,12000,50,150,4750,12000,4750,1300,0.660458,0.047794,40,594,2693.6
buf12000,14,40000,100,120,12000,50,150,4200,12000,4200,1400,0.663084,0.04385,39,598,2608.7
buf12000,15,40000,100,120,12000,50,-1,3900,12000,3900,-1,0.436014,0.123228,17,539,1261.6
buf12000,16,40000,100,120,12000,50,150,3850,12000,3850,2250,0.644596,0.045126,38,595,2554.6
buf12000,17,40000,100,120,12000,50,150,3600,12000,3600,2250,0.654135,0.043549,38,601,2529.1
buf12000,18,40000,100,120,12000,50,150,4050,12000,4050,1650,0.675116,0.039811,39,598,2608.7
buf12000,19,40000,100,120,12000,50,150,4800,12000,4800,1300,0.654223,0.042858,40,596,2684.6
buf12000,20,40000,100,120,12000,50,150,3850,12000,3850,2350,0.66302,0.043332,37,599,2470.8
buf12000,21,40000,100,120,12000,50,150,3800,12000,3800,2400,0.638412,0.050136,35,594,2356.9
buf12000,22,40000,100,120,12000,50,150,4100,12000,4100,1400,0.662702,0.046468,37,598,2474.9
buf12000,23,40000,100,120,12000,50,150,5250,12000,5250,1300,0.671029,0.0431,37,592,2500.0
buf12000,24,40000,100,120,12000,50,150,4600,12000,4600,1400,0.668002,0.046633,37,595,2487.4
buf12000,25,40000,100,120,12000,50,150,4800,12000,4800,1350,0.66045,0.043485,38,595,2554.6
buf12000,26,40000,100,120,12000,50,150,3650,12000,3650,2300,0.673847,0.045523,39,595,2621.8
buf12000,27,40000,100,120,12000,50,150,3750,12000,3750,2250,0.66384,0.041982,37,598,2474.9
buf12000,28,40000,100,120,12000,50,150,5650,12000,5650,400,0.658345,0.044091,42,607,2767.7
buf12000,29,40000,100,120,12000,50,150,4700,12000,4700,1400,0.666238,0.043257,41,593,2765.6
buf12000,30,40000,100,120,12000,50,150,4300,12000,4300,1400,0.657627,0.04117,45,599,3005.0
buf12000,31,40000,100,120,12000,50,150,4650,12000,4650,1400,0.66088,0.04062,37,591,2504.2
buf12000,32,40000,100,120,12000,50,150,4800,12000,4800,1400,0.668989,0.045539,41,595,2756.3
buf12000,33,40000,100,120,12000,50,150,3600,12000,3600,2350,0.665089,0.046172,39,591,2639.6
buf12000,34,40000,100,120,12000,50,150,5300,12000,5300,600,0.662991,0.044517,41,599,2737.9
buf12000,35,40000,100,120,12000,50,150,4800,12000,4800,1300,0.673971,0.047422,35,594,2356.9
buf12000,36,40000,100,120,12000,50,150,4750,12000,4750,1300,0.668143,0.043963,43,597,2881.1
buf12000,37,40000,100,120,12000,50,150,4800,12000,4800,1300,0.665216,0.043891,37,596,2483.2
buf12000,38,40000,100,120,12000,50,150,3850,12000,3850,2250,0.664393,0.044047,36,594,2424.2
buf12000,39,40000,100,120,12000,50,-1,3450,12000,3450,-1,,,0,381,0.0
buf24000,0,40000,200,120,24000,50,150,5100,24000,5100,1300,0.698097,0.043668,40,608,2631.6
buf24000,1,40000,200,120,24000,50,150,5250,24000,5250,550,0.715556,0.041815,35,596,2349.0
buf24000,2,40000,200,120,24000,50,150,5350,24000,9600,600,0.714564,0.042749,38,609,2495.9
buf24000,3,40000,200,120,24000,50,150,3900,24000,3900,2400,0.690709,0.046293,36,594,2424.2
buf24000,4,40000,200,120,24000,50,150,4800,24000,4800,1350,0.703948,0.044842,38,592,2567.6
buf24000,5,40000,200,120,24000,50,1000,3750,24850,3750,4400,0.692542,0.047631,39,597,2613.1
buf24000,6,40000,200,120,24000,50,150,4950,24000,8800,1300,0.681585,0.04685,38,599,2537.6
buf24000,7,40000,200,120,24000,50,150,4850,24000,4850,1300,0.711141,0.046738,45,596,3020.1
buf24000,8,40000,200,120,24000,50,150,3750,24000,3750,2250,0.708906,0.045449,35,595,2352.9
buf24000,9,40000,200,120,24000,50,150,4300,24000,4300,1400,0.715939,0.044963,42,596,2818.8
buf24000,10,40000,200,120,24000,50,150,3650,24000,3650,2200,0.684952,0.047812,36,604,2384.1
buf24000,11,40000,200,120,24000,50,150,3650,24000,3650,2400,0.699351,0.043421,38,590,2576.3
buf24000,12,40000,200,120,24000,50,150,5350,24000,8050,600,0.687172,0.043192,37,606,2442.2
buf24000,13,40000,200,120,24000,50,150,4750,24000,4750,1300,0.710994,0.047794,40,594,2693.6
buf24000,14,40000,200,120,24000,50,150,4200,24000,4200,1400,0.702524,0.04385,39,598,2608.7
buf24000,15,40000,200,120,24000,50,-1,3900,33600,3900,-1,0.36826,0.134353,17,539,1261.6
buf24000,16,40000,200,120,24000,50,150,3850,24000,3850,2250,0.696591,0.045126,38,595,2554.6
buf24000,17,40000,200,120,24000,50,150,3600,24000,3600,2250,0.698006,0.043549,38,601,2529.1
buf24000,18,40000,200,120,24000,50,150,4050,24000,4050,1650,0.696303,0.039811,39,598,2608.7
buf24000,19,40000,200,120,24000,50,150,4800,24000,4800,1300,0.720204,0.042858,40,596,2684.6
buf24000,20,40000,200,120,24000,50,150,3850,24000,3850,2350,0.703809,0.043332,37,599,2470.8
buf24000,21,40000,200,120,24000,50,150,3800,24000,3800,2400,0.683561,0.050136,35,594,2356.9
buf24000,22,40000,200,120,24000,50,150,4100,24000,4100,1400,0.708644,0.046468,37,598,2474.9
buf24000,23,40000,200,120,24000,50,150,5250,24000,5250,1300,0.716268,0.0431,37,592,2500.0
buf24000,24,40000,200,120,24000,50,150,4600,24000,4600,1400,0.70447,0.046633,37,595,2487.4
buf24000,25,40000,200,120,24000,50,150,4800,24000,4800,1350,0.711626,0.043485,38,595,2554.6
buf24000,26,40000,200,120,24000,50,150,3650,24000,3650,2300,0.698451,0.045523,39,595,2621.8
buf24000,27,40000,200,120,24000,50,150,3750,24000,3750,2250,0.718322,0.041982,37,598,2474.9
buf24000,28,40000,200,120,24000,50,150,5650,24000,5650,400,0.706273,0.044091,42,607,2767.7
buf24000,29,40000,200,120,24000,50,150,4700,24000,4700,1400,0.704819,0.043257,41,593,2765.6
buf24000,30,40000,200,120,24000,50,150,4300,24000,4300,1400,0.705217,0.04117,45,599,3005.0
buf24000,31,40000,200,120,24000,50,150,4650,24000,4650,1400,0.70392,0.04062,37,591,2504.2
buf24000,32,40000,200,120,24000,50,150,4800,24000,4800,1400,0.721397,0.045539,41,595,2756.3
buf24000,33,40000,200,120,24000,50,150,3600,24000,3600,2350,0.698808,0.046172,39,591,2639.6
buf24000,34,40000,200,120,24000,50,150,5300,24000,5300,600,0.69544,0.044517,41,599,2737.9
buf24000,35,40000,200,120,24000,50,150,4800,24000,4800,1300,0.699301,0.047422,35,594,2356.9
buf24000,36,40000,200,120,24000,50,150,4750,24000,4750,1300,0.716871,0.043963,43,597,2881.1
buf24000,37,40000,200,120,24000,50,150,4800,24000,4800,1300,0.695682,0.043891,37,596,2483.2
buf24000,38,40000,200,120,24000,50,150,3850,24000,3850,2250,0.712409,0.044047,36,594,2424.2
buf24000,39,40000,200,120,24000,50,-1,3450,-1,3450,-1,,,0,381,0.0
buf6000,0,40000,50,120,6000,50,150,5100,6000,5100,1300,0.63083,0.043668,40,608,2631.6
buf6000,1,40000,50,120,6000,50,150,5250,6000,5250,550,0.615748,0.041815,35,596,2349.0
buf6000,2,40000,50,120,6000,50,150,5350,6000,9600,600,0.624664,0.042749,38,609,2495.9
buf6000,3,40000,50,120,6000,50,150,3900,6000,3900,2400,0.62194,0.046293,36,594,2424.2
buf6000,4,40000,50,120,6000,50,150,4800,6000,4800,1350,0.617887,0.044842,38,592,2567.6
buf6000,5,40000,50,120,6000,50,1000,3750,6850,3750,4400,0.623765,0.047631,39,597,2613.1
buf6000,6,40000,50,120,6000,50,150,4950,6000,8800,1300,0.622178,0.04685,38,599,2537.6
buf6000,7,40000,50,120,6000,50,150,4850,6000,4850,1300,0.621233,0.046738,45,596,3020.1
buf6000,8,40000,50,120,6000,50,150,3750,6000,3750,2250,0.618825,0.045449,35,595,2352.9
buf6000,9,40000,50,120,6000,50,150,4300,6000,4300,1400,0.622639,0.044963,42,596,2818.8
buf6000,10,40000,50,120,6000,50,150,3650,6000,3650,2200,0.625185,0.047812,36,604,2384.1
buf6000,11,40000,50,120,6000,50,150,3650,6000,3650,2400,0.620703,0.043421,38,590,2576.3
buf6000,12,40000,50,120,6000,50,150,5350,6000,8050,600,0.622411,0.043192,37,606,2442.2
buf6000,13,40000,50,120,6000,50,150,4750,6000,4750,1300,0.622302,0.047794,40,594,2693.6
buf6000,14,40000,50,120,6000,50,150,4200,6000,4200,1400,0.618151,0.04385,39,598,2608.7
buf6000,15,40000,50,120,6000,50,-1,3900,6000,3900,-1,0.422787,0.125048,17,539,1261.6
buf6000,16,40000,50,120,6000,50,150,3850,6000,3850,2250,0.622915,0.045126,38,595,2554.6
buf6000,17,40000,50,120,6000,50,150,3600,6000,3600,2250,0.624168,0.043549,38,601,2529.1
buf6000,18,40000,50,120,6000,50,150,4050,6000,4050,1650,0.624474,0.039811,39,598,2608.7
buf6000,19,40000,50,120,6000,50,150,4800,6000,4800,1300,0.616647,0.042858,40,596,2684.6
